code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
LGGB71H3,HIS_PHIL_CUL,,,,LGGB70H3,Not for students educated in India. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course including those students who meet the prerequisite.,Hindi II for Students with Prior Background Continuation of LGGB70H3.,,
LGGB74H3,ART_LIT_LANG,,"Tamil language taught through culture for students with heritage language skills or prior formal study. The cultures of South India, Sri Lanka and diaspora populations will be studied to build literacy skills in the Tamil script as well as further development of speaking and listening skills.",,LGGA75H3,Not for students educated in Tamil Naadu or Sri Lanka.,Intermediate Tamil,,
LGGC60H3,ART_LIT_LANG,,"This course develops all language skills in speaking, listening, reading, writing, and translation, with special attention to idiomatic expressions. Through a variety of texts and interactive materials, students will be introduced to aspects of Chinese life and culture.",,LGGB61H3 or (LGGB04H3) or equivalent,"LGGC61H3 or higher at UTSC, and all third and fourth year Chinese language courses at FAS/UTSG and UTM",Advanced Chinese I,,
LGGC61H3,HIS_PHIL_CUL,,,,LGGC60H3 or equivalent,LGGC62H3 or higher at UTSC and all third and fourth year Chinese language courses at FAS/UTSG and UTM.,Advanced Chinese II A continuation of LGGC60H3. Prerequisite: LGGC60H3 or equivalent,,
LGGC62H3,ART_LIT_LANG,,"This course focuses on similarities and differences between Chinese and Western cultures through a variety of cultural and literary materials. Students will further develop their language skills and cultural awareness through reading, writing, and translation.",,,"(LGGB66H3), (LGGB67H3), LGGC64H3, LGGC65H3, LGGD66H3/(LGGC67H3), LGGD67H3/(LGGC66H3)",Cultures in the East and West,,1. This course is not required for the Minor program in English and Chinese Translation. 2. Students may take this course before or after LGGC63H3.
LGGC63H3,HIS_PHIL_CUL,,"This course focuses on aspects of Canadian and Chinese societies, and related regions overseas. Through a variety of text and non-text materials, in Chinese with English translation and in English with Chinese translation, students will further improve their language skills and have a better understanding of Canada, China, and beyond.",,,"(LGGB66H3), (LGGB67H3), LGGC64H3, LGGC65H3, LGGD66H3/(LGGC67H3), and LGGD67H3/(LGGC66H3)","Canada, China, and Beyond",,1. This course is not required for the Minor program in English and Chinese Translation. 2. Students may take LGGC63H3 before or after LGGC62H3.
LGGC64H3,ART_LIT_LANG,,"Intended for students who read Chinese and English well. Complex-simplified character conversion and vice versa, as well as English-Chinese and Chinese-English bilingual texts, are emphasized through reading, discussion, and translation in a variety of topics from, and outside of, Greater China, presentations, translation comparison, translation, and translation criticism.",,,(LGGB66H3). The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.,Reading Chinese and English: China Inside Out,,"1. This course is bilingual, and priority will be given to students enrolled in the Minor in English and Chinese Translation. 2. This course may be taken before or after LGGC65H3, LGGD66H3, and/or LGGD67H3. 3. Students who have taken this course should not subsequently take LGGC60H3, LGGC61H3, LGGC62H3, LGGC63H3, or any lower level LGG Chinese courses for credit."
LGGC65H3,HIS_PHIL_CUL,,"Designed for students who read Chinese and English well. Complex-simplified Chinese character conversion and vice versa, as well as English-Chinese and Chinese-English bilingual texts are emphasized through reading, discussion, and translation in a variety of topics from global perspectives, presentations, translation and translation comparison, and translation criticism.",,,(LGGB67H3). The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.,Reading Chinese and English: Global Perspectives,,"1. This course is bilingual and priority will be given to students enrolled in the Minor in English and Chinese Translation. 2. This course may be taken before or after LGGC64H3, LGGD66H3, and/or LGGD67H3. 3. Students who have taken this course may not subsequently take LGGC60H3, LGGC61H3, LGGC62H3, LGGC63H3, or any lower level LGG Chinese courses for credit."
LGGC70H3,ART_LIT_LANG,,"Advanced language learning through an introduction to the historical development of the Hindi language. Students develop language skills through the study of educational structure, and literary and cultural institutions in colonial and postcolonial India. The course studies a variety of texts and media and integrates composition and conversation.",,LGGB70H3 and LGGB71H3,Not for students educated in India.,Advanced Hindi: From Hindustan to Modern India,,
LGGD66H3,HIS_PHIL_CUL,,This course examines Chinese literary masterpieces of the pre-modern era and their English translations. They include the prose and poetry of many dynasties as well as examples in Literary Chinese of other genres that are still very much alive in Chinese language and society today. An in-depth review of the English translations will be strongly emphasized.,,A working knowledge of Modern Chinese and English,"(LGGC67H3), (EAS306Y), EAS358Y1, EAS455H1, EAS458H1, CHI311H5, CHI408H5, CHI409H5",Literary Chinese and English Translations,,"1. Priority will be given to students enrolled in the Minor in English and Chinese Translation. 2. Students who have taken this course should not subsequently take lower-level Chinese or Chinese/English bilingual courses for credit except LGGC64H3 and LGGC65H3. 3. This course may be taken before or after LGGC64H3, LGGC65H3, and/or LGGD67H3."
LGGD67H3,ART_LIT_LANG,,"This course examines Chinese classics and their English translations, such as The Book of Documents, The Analects of Confucius, The Mencius, The Dao De Jing, and other philosophical maxims, proverbial sayings, rhyming couplets, idioms and poems that still have an impact on Chinese language and culture today.",,A working knowledge of Modern Chinese and English,"(LGGC66H3), (EAS206Y), EAS218H1, (EAS306Y), EAS358Y1, EAS455H1, EAS458H1, CHI311H5, CHI408H5, CHI409H5",Classical Chinese and English Translations,,"1. Priority will be given to students enrolled in the Minor in English and Chinese Translation. 2. This course may be taken before or after LGGC64H3, LGGC65H3, and/or LGGD66H3 3. Students who have taken this course should not subsequently take lower-level Chinese or Chinese/English bilingual courses for credit except LGGC64H3 and/or LGGC65H3."
